gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_2195,314,103,96,27,773,191,65,565
gene_2199,87,65,97,63,689,98,35,456
gene_2210,6,2,5,8,118,10,8,62
gene_2200,53,26,27,4,228,50,12,253
gene_2201,6,3,0,0,33,0,0,14
gene_2218,3,4,0,3,13,2,0,10
gene_2221,0,4,0,0,32,0,3,6
gene_2222,118,52,83,54,1362,91,53,846
gene_2228,1,0,0,0,0,0,0,3
gene_2225,300,134,354,124,6818,257,102,4061
gene_2226,12,0,5,0,164,32,0,60
gene_2230,21,10,19,9,370,16,2,314
gene_2236,95,18,49,37,1270,93,43,680
gene_2244,3,0,5,0,96,6,0,35
gene_2238,8,10,9,0,7,3,0,9
gene_2239,5,6,5,0,63,11,2,43
gene_2234,640,228,251,109,2598,696,191,1060
gene_2235,104,48,69,18,625,93,51,457
gene_2247,30,9,20,5,128,15,10,91
gene_2261,3,0,3,0,13,3,3,0
gene_2260,43,20,15,0,128,17,0,32
gene_2254,2572,1056,1498,569,11563,1775,711,6075
gene_2267,4,5,3,0,51,6,0,16
gene_2271,43,37,20,16,287,45,15,172
gene_2297,3,4,10,2,64,19,0,14
gene_2292,7,6,5,0,71,15,4,64
gene_2293,17,8,18,4,61,15,7,62
gene_2298,15,5,5,0,73,13,0,50
gene_2299,19,12,5,4,89,0,3,53
gene_2300,10,4,2,0,33,0,3,15
gene_2262,0,0,0,0,6,0,0,0
gene_2263,2117,741,1261,522,9788,1278,505,5630
gene_2303,0,0,0,0,0,0,0,0
gene_2302,178,74,80,14,504,139,59,286
gene_2304,28,12,20,15,225,32,16,160
gene_2305,4,3,0,0,22,0,0,0
gene_2306,21,12,23,13,90,12,0,108
gene_2307,59,16,23,24,403,48,14,99
gene_2308,6,0,6,0,32,5,0,7
gene_2311,0,0,0,0,5,5,0,4
gene_2312,105,54,24,17,217,71,48,156
gene_2313,17,15,18,11,173,10,4,104
gene_2315,0,6,18,11,114,6,0,41
gene_2314,18,4,16,0,62,10,0,43
gene_2317,4,0,0,0,4,2,0,0
gene_2318,28,31,43,9,128,22,19,92
gene_2324,10,6,0,0,0,11,0,0
gene_2325,14,0,0,0,0,8,0,6
gene_2326,46,14,22,2,226,13,9,233
gene_2329,4,0,4,0,0,6,0,9
gene_2330,2,0,0,0,1,5,0,3
gene_2331,0,0,0,4,3,0,0,2
gene_2332,86,11,51,30,317,44,26,177
gene_2337,16,5,14,6,104,0,0,59
gene_2344,0,0,0,0,4,0,0,0
gene_2341,44,4,37,8,207,13,9,107
gene_2346,8,6,8,3,105,4,4,33
gene_2348,0,0,0,0,18,0,0,6
gene_2345,46,18,29,12,473,71,34,284
gene_2349,4,0,3,0,0,4,0,0
gene_2351,61,28,50,24,500,57,8,215
gene_2352,12,5,19,11,137,18,0,149
gene_2362,21,0,0,6,43,13,7,17
gene_2363,4,0,8,7,64,0,6,12
gene_2366,2,0,0,0,0,7,0,0
gene_2373,24,8,14,5,265,25,2,101
gene_2378,10,8,7,3,81,12,0,45
gene_2375,151,26,63,34,600,68,27,411
gene_2370,1757,637,1074,455,8139,1243,483,5807
gene_2380,341,142,120,55,899,176,86,408
gene_2381,369,170,145,51,1742,345,102,642
gene_2382,344,144,182,63,1226,285,100,390
gene_2383,490,194,209,138,2100,285,121,868
gene_2384,415,144,128,54,1439,266,109,262
gene_2406,55,19,39,9,354,60,18,275
gene_2404,408,153,201,120,2133,314,128,1515
gene_2407,13,4,10,0,88,15,7,32
gene_2408,0,0,12,0,0,0,0,5
gene_2410,6,6,0,0,32,9,0,23
gene_2416,25,8,5,0,55,10,0,20
gene_2413,356,141,142,57,1633,275,73,917
gene_2414,19,5,0,3,34,25,8,29
gene_2417,10,5,8,0,97,10,11,87
gene_2418,17,5,11,0,70,17,6,36
gene_2386,0,0,0,0,0,0,0,0
gene_2388,0,0,0,0,4,0,0,11
gene_2389,0,0,0,0,0,0,0,0
gene_2391,0,0,3,0,14,4,0,8
gene_2394,0,0,0,0,0,0,0,0
gene_2398,0,0,0,0,0,0,0,0
gene_2400,0,0,11,0,10,9,7,23
gene_2401,0,0,0,0,0,0,0,0
gene_2402,0,0,0,0,0,0,0,2
gene_2385,3369,1224,3215,1371,25706,2340,926,17240
gene_2387,32,7,71,0,348,50,11,226
gene_2390,4,0,0,0,8,0,0,0
gene_2392,12,0,0,4,12,0,0,10
gene_2393,36,9,37,0,170,36,10,118
gene_2395,5,0,0,0,5,0,5,4
gene_2396,1410,564,886,397,10227,1182,485,5949
gene_2397,11,3,0,0,5,6,0,22
gene_2399,38,6,11,8,144,7,0,97
gene_2403,2446,910,912,412,6473,2556,865,3142
gene_2419,1576,722,160,51,936,763,394,902
gene_2422,82,37,118,19,1457,79,29,1386
gene_2420,586,177,292,100,3274,365,193,2111
gene_2421,60,24,49,17,275,50,7,241
gene_2430,23,3,0,0,31,8,0,0
gene_2423,1355,550,749,341,6502,1126,441,2760
gene_2440,0,0,4,0,38,4,0,35
gene_2432,41,12,23,7,204,21,14,136
gene_2431,363,146,268,115,2121,171,99,1734
gene_2444,7,0,0,4,17,0,0,27
gene_2441,133,64,77,21,833,140,46,477
gene_2450,25,26,53,22,741,38,20,431
gene_2455,3,0,12,6,108,0,10,114
gene_2448,14,0,0,6,17,0,3,13
gene_2449,135,35,108,72,1575,102,59,876
gene_2462,0,3,0,4,90,5,6,31
gene_2457,122,48,60,34,363,125,54,263
gene_2463,19,0,12,6,36,19,0,18
gene_2465,59,34,74,51,829,54,21,596
gene_2466,17,12,0,2,268,37,12,58
gene_2469,8,9,0,0,19,4,8,7
