"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_7943",4766.61360515838,1.56529437300354,0.170281589031942,9.19238763217037,3.84216702155888e-20,1.8891270254559e-18
"gene_11807",1636.44855527952,-2.08972141402167,0.227489554608296,-9.18601039779545,4.07681751604945e-20,1.99490970031759e-18
"gene_10718",1795.80780550059,0.822016667647425,0.0895507299227965,9.17934078656982,4.33738476810871e-20,2.11230638206894e-18
"gene_9531",594.424077515482,1.87109750398551,0.20455393045116,9.14720875741013,5.84235435161276e-20,2.8317420831253e-18
"gene_5266",4255.3051784122,1.10324275366224,0.120931458640259,9.1228764298966,7.31563628394974e-20,3.52910435263934e-18
"gene_10786",108.864146373847,-2.38765729377765,0.26189192207017,-9.11695662433572,7.72634956732887e-20,3.70973601056678e-18
"gene_7863",3410.96866945039,-0.99967112048625,0.109664548300998,-9.11571821499172,7.81510987359553e-20,3.73481909706829e-18
"gene_7697",156.889129106013,-1.97961731624229,0.217181218233125,-9.11504840219355,7.86353644210115e-20,3.74048312527295e-18
"gene_9804",684.991404395824,2.67699459686075,0.293796907801307,9.111718080679,8.10875263066527e-20,3.83926912749137e-18
"gene_6875",196.129342730192,1.49777412111121,0.164730502470589,9.09226948651256,9.69929355934131e-20,4.57118319038634e-18
"gene_4381",245.528657313712,1.55469392576958,0.171113750073189,9.08573346738411,1.03001825003144e-19,4.83210855186766e-18
"gene_1508",1927.78702314247,1.67428105722421,0.184511434938842,9.07413168066884,1.14587488080055e-19,5.35107872417683e-18
"gene_11419",695.161247150668,-1.39522368114229,0.15383973555751,-9.06933228977575,1.19748572680752e-19,5.56667569457294e-18
"gene_7663",170.642864511212,-3.0512954211529,0.336466535111404,-9.06864458345797,1.20506682438004e-19,5.57656941761748e-18
"gene_8206",1745.83416166477,-0.966465752540507,0.106613487127218,-9.06513592775795,1.24448987113697e-19,5.73306212257559e-18
"gene_6262",277.580870258916,-1.38159886586947,0.152487835977885,-9.06038738768541,1.29988072157221e-19,5.96138122848383e-18
"gene_11544",270.168990336801,-1.16162851802589,0.128315801162802,-9.05288754385027,1.39236664008791e-19,6.35702394115134e-18
"gene_10320",1553.84573055114,-1.0414607608922,0.115344776754447,-9.02911072522449,1.73072478709009e-19,7.86672106558684e-18
"gene_6944",7091.1944368155,-1.23079346674281,0.136425188044959,-9.02174652922014,1.85114123585351e-19,8.37682363675835e-18
"gene_8242",2132.51564598873,0.790332480411734,0.0876821208667952,9.01361044416787,1.99381967244537e-19,8.98272854189376e-18
"gene_2994",5320.07117636316,-0.55300085615525,0.0613694105874563,-9.01101788108556,2.04152731428596e-19,9.15732449263267e-18
"gene_6727",90.6776811914964,-3.13787032430818,0.348301587850983,-9.00906120947886,2.07827873085604e-19,9.28146575566146e-18
"gene_8971",249.112873085798,1.48046729695602,0.164935067646495,8.97606141666065,2.80632767232857e-19,1.24783970021323e-17
"gene_7487",409.833294500605,1.29004426109201,0.143753042284004,8.97403102289379,2.85856730760843e-19,1.26556570800482e-17
"gene_5185",79943.8851567904,-0.992469705114663,0.110898136881421,-8.94938123420302,3.57480527459568e-19,1.57584196307284e-17
"gene_1938",809.458514531245,1.08958949674374,0.121824740189695,8.94390987452245,3.75638917753783e-19,1.64878077762573e-17
"gene_5871",2927.16565717379,2.09799556940042,0.234636277856147,8.94147993042526,3.83992846550177e-19,1.67824565883276e-17
"gene_7372",42391.7311868266,-1.03041969721714,0.115305005436597,-8.93646978563946,4.01800919739142e-19,1.74860340688179e-17
